"Category","Cat_lab","Adsorbent_Name","Ads_lab","BET Surface Area","Pore Volume","Micropore Volume","Pore Diameter","Pressure","Temperature","CO2 Partial Pressure","CO2 Adsorption Capacity","Selectivity","Pattern","Rank"
"ZIF","1","ZIF-8_1000","49","1292","","0.44","","1","25","1","3.31","","P9","4"
"Activated_Carbon","6","HCM-DAH-1","203","670","0.46","0.2","5","1.04","0","1.04","3.3","","P8","4"
"Activated_Carbon","6","Activated_Carbon","188","1300","0.8","","2.2","1","15","1","3.3","","P9","4"
"Activated_Carbon","6","HCM-DAH-1-900-1","204","1392","0.46","0.2","5","1.04","25","1.04","3.3","17","P9","4"
"MOF","1","MOF-508B_Zn2(BDC)2(4,4'-bpy)","33","","","","","0.94","50","0.9353","3.3","","P2","4"
"Zeolite","3","5A","132","600","","","0.42","0.975","10","0.975","3.2889","","P1","4"
"MOF","1","Amine-MIL-101_(Cr)-100%_PEI-amine","7","96.4","0.37","","","1","25","1","3.25","","P2","4"
"Zeolite","3","Cs@RWY","138","526","0.277","","0.62","1","23","1","3.21","180","P1","4"
"COF","2","FCTF-1","78","662","","","0.46","1","25","0.999995","3.21","","P1","4"
"MOP","2","TPP-3","125","785","0.551","0.263","","1","0","1","3.2","28.1","P1","4"
"MOF","1","PCN-88'","37","3042","","","","1","23","1","3.13","12.3","P9","4"
"POP","2","TRITER-1","126","716","0.32","","1.7","5","25","5","3.11","","P8","4"
"Porous_Carbon","6","SU-MAC-800","226","2369","1.34","0.63","","1","25","1","3.11","11","P9","4"
"Porous_Carbon","6","NS2","214","2788","1.4","1.29","","1","25","1","3.11","","P9","4"
"POP","2","TAPOP-2","112","940","0.71","0.19","0.63","1","0","1","3.1","","P9","4"
"MOF","1","Cu(bpy)2(BF4)2","16","390","0.27","0.14","","1","0","1","3.1","","P1","4"
"MOF","1","Zn-carborane","55","800","","","","1","0","1","3.1","","P1","4"
"Zeolite","3","4A","130","","","","0.4","1","25","1","3.1","","P2","4"
"Activated_Carbon","6","CP-2-700","192","2940","1.37","1.14","","1","25","1","3.1","","P9","4"
"MOF","1","H3[(Cu4Cl)3-(BTTri)8]","23","1770","","","","1.02881","30","1.02881","3.09311","","P10","4"
"Zeolite","3","5A","132","600","","","0.42","0.9758","30","0.9758","3.0608","","P1","4"
"Carbon_Nanotube","7","CNF-2","230","1580","0.7","0.36","0.42","1","25","1","3.05","","P9","4"
"MOF","1","bio-MOF-11","11","1040","0.45","","0.58","1","40","1","3.01067","","P10","4"
"ZIF","1","ZIF-69","46","950","0.34","","0.78","1","30","1","3","","P10","4"
"POP","2","NOP-51A","84","1071","1.23","","","1","0","1","3","52","P9","4"
"ZIF","1","5A@ZIF-8(I)","2","379","0.23","","","1","25","1","2.97","","P2","4"
"Zeolite","3","13X","128","585.5","","0.172","","1","50","1","2.97","","P2","4"
"POP","2","PECONF-4","100","433","0.14","","","1","0","1","2.95","82","P1","4"
"Porous_Carbon","6","SNS2-20","221","2100","1.01","0.93","","1","50","1","2.92","79.35","P14","4"
"Activated_Carbon","6","HCM-DAH-1-900-3","206","2160","0.46","0.2","5","1.04","25","1.04","2.9","13","P9","4"
"MOF","1","Amine-MIL-101_(Cr)-75%_PEI-amine","9","243.3","0.47","","","2","25","2","2.85","","P2","4"
"POP","2","PECONF-2","98","637","0.348","","","1","0","1","2.85","75","P1","4"
"Porous_Oxide","4","AIPO4-18","153","","","","","1","0","1","2.825","","P1","4"
"POP","2","PAF-26-COOMg","89","572","0.28","0.23","0.57","1","0","1","2.8","","P1","4"
"MOF","1","Amine-MIL-101_(Cr)-50%_PEI-amine","8","946.8","0.8","","","1","25","1","2.8","","P9","4"
"MOF","1","Cu2(bptb)","19","1217","","","1.1","1","0","1","2.8","","P9","4"
"ZIF","1","ZIF-8_800","52","616","","0.2","","1","25","1","2.78","","P2","4"
"Zeolite","3","5A","132","600","","","0.42","1.0043","50","1.0043","2.7767","","P1","4"
"POP","2","PPN-6-SO3NH4","111","593","","","","1","40","1","2.7608666666667","","P2","4"
"MOF","1","H3[(Cu4Cl)3-(BTTri)8]","23","1770","","","","1.02861","35","1.02861","2.75176","","P9","4"
"ZIF","1","5A","1","334","0.18","","","0.1","25","0.1","2.75","","P2","4"
"Activated_Carbon","6","G-32_H_AC","199","897","","","","1","25","1","2.75","","P9","4"
"ZIF","1","5A@ZIF-8(I)","2","379","0.23","","","1","25","0.15","2.74","","P2","4"
"Porous_Carbon","6","SNS2-10","220","2247","1.08","0.99","","1","50","1","2.71","71.22","P14","4"
"POP","2","PAF-26-COONa","91","483","0.23","0.2","0.49","1","0","1","2.7","","P1","4"
"Porous_Oxide","4","Mesoporous_Alumina_with_Polyethylenimine","164","812","0.83","","4.1","1","25","1","2.7","","P4","4"
"Porous_Carbon","6","NS3","216","3124","1.87","1.68","","1","25","1","2.7","","P9","4"
"Activated_Carbon","6","CP-2-800","194","3410","1.94","1.21","","1","25","1","2.7","","P9","4"
"POP","2","TNCMP-2","118","995","0.55","","","1","0","1","2.62","","P9","4"
"POP","2","PON-1","104","1422","0.89","","","1","25","1","2.61","","P9","4"
"Porous_Oxide","4","SM10","176","968","1.46","0.1","9.5","1","0","1","2.61","","P12","4"
"ZIF","1","5A@ZIF-8(II)","3","467","0.28","","","1","25","1","2.61","","P2","4"
"Activated_Carbon","6","HCM-DAH-1","203","670","0.46","0.2","5","1.04","25","1.04","2.6","28","P8","4"
"MOP","2","TPP-1-NH2","122","554","0.422","0.252","","1","25","1","2.6","33.1","P2","4"
"MOP","2","TPP-4","127","140","0.232","0.114","","1","0","1","2.6","50.4","P1","4"
"Activated_Carbon","6","CP-4-800","197","3450","2.57","1.22","","1","25","1","2.6","","P9","4"
"ZIF","1","5A@ZIF-8(II)","3","467","0.28","","","1","25","0.15","2.55","","P2","4"
"MOF","1","SIFSIX-3-Zn","39","250","","","0.384","1","25","1","2.5454545454545","1818","P1","4"
"Porous_Carbon","6","SNS3-10","222","2598","1.41","1.3","","1","50","1","2.54","64.46","P14","4"
"Porous_Carbon","6","SNS1-10","218","1275","0.58","0.53","","1","50","1","2.51","78.92","P9","4"
"Porous_Carbon","6","SNS1-20","219","1180","0.55","0.49","","1","50","1","2.51","85.83","P9","4"
"POP","2","Fe-POP-3","82","750","0.516","","0.75","1","0","1","2.5","","P1","4"
"POP","2","PAF-26-COOLi","88","591","0.28","0.24","0.52","1","0","1","2.5","","P1","4"
"POP","2","PAF-34","94","953","","","","1","0","1","2.5","","P9","4"
"MOF","1","H3[(Cu4Cl)3-(BTTri)8]","23","1770","","","","1.02851","40","1.02851","2.47742","","P9","4"
"Porous_Carbon","6","SNS3-20","224","2278","1.18","1.11","","1","50","1","2.47","71","P14","4"
"COF","2","CTF-1","76","746","","","0.54","1","0","0.999995","2.47","","P1","4"
